Frame number: 0  Sekunda 2.0: 
Frame number: 680  Sekunda 29.2: 所以在华东政法大字 我们所有的专业分两类

Frame number: 697  Sekunda 29.88: 一类叫法学专业

Frame number: 714  Sekunda 30.56: 一类叫法学专业

Frame number: 731  Sekunda 31.24: 还有一类叫非法学

Frame number: 748  Sekunda 31.92: 还有一类叫非法学

Frame number: 765  Sekunda 32.6: 还有一类叫非法学

Frame number: 782  Sekunda 33.28: 那像我这种中文专业的老师

Frame number: 799  Sekunda 33.96: 一般都会目称为“非法”的老师

Frame number: 816  Sekunda 34.64: 正因为我是一个“非法”的老师

Frame number: 833  Sekunda 35.32: 所以在政法大学里面

Frame number: 850  Sekunda 36.0: 我非常意外地得到了一种边缘的宽松和上自由

Frame number: 867  Sekunda 36.68: 可以用上自己的方式来研究文学 来讲文学

Frame number: 884  Sekunda 37.36: 文竹里面它包含着巨大的人生资源

Frame number: 901  Sekunda 38.04: 我非哩想让上自己的半生看到这些

Frame number: 918  Sekunda 38.72: 现在我也有了一总野心

Frame number: 935  Sekunda 39.4: 我还想要更多的年轻人看到这些

Frame number: 952  Sekunda 40.08: 通过文学来讲人生

Frame number: 969  Sekunda 40.76: 贴着人生来讲文学

Frame number: 986  Sekunda 41.44: 这个理念我坚持了25年

Frame number: 1003  Sekunda 42.12: 这个理念我坚持了25年

Frame number: 1020  Sekunda 42.8: 我还想继续坚持下去

Frame number: 1037  Sekunda 43.48: 所以我今天站在这里

Frame number: 1054  Sekunda 44.16: 来给大家来讲一个并不是特别新鲜的话题

Frame number: 1071  Sekunda 44.84: 那就是理想

Frame number: 1088  Sekunda 45.52: 理想有什么用

Frame number: 1105  Sekunda 46.2: 其实作为一个老师

Frame number: 1122  Sekunda 46.88: 我的字生经钊会向我友回

Frame number: 1139  Sekunda 47.56: 老师 你老是培理想

Frame number: 1156  Sekunda 48.24: 在现在这个时代

Frame number: 1173  Sekunda 48.92: 在现在这个时代

Frame number: 1190  Sekunda 49.6: 压力那么大

Frame number: 1207  Sekunda 50.28: 葛争那么郑

Frame number: 1224  Sekunda 50.96: 谈理想是趟是不合时家

Frame number: 1241  Sekunda 51.64: 所以我们会看到在社会上也有很多年轻人

Frame number: 1258  Sekunda 52.32: 会提出这样的赤于的捷问

Frame number: 1275  Sekunda 53.0: 那就是理想能当饭吃吗

Frame number: 1292  Sekunda 53.68: 我只是个螺丝钉

Frame number: 1309  Sekunda 54.36: 我只是北上广的一个有归属感的抹布

Frame number: 1326  Sekunda 55.04: 我要理想有什么用

Frame number: 1343  Sekunda 55.72: 我要理想有什么用

Frame number: 1360  Sekunda 56.4: 有一首歌是不是我们在座的年轻人都知道

Frame number: 1377  Sekunda 57.08: 有一首歌是不是我们在座的年轻人都知道

Frame number: 1394  Sekunda 57.76: 有一首歌是不是我们在座的年轻人都知道

Frame number: 1411  Sekunda 58.44: 有一首歌是不是我们在座的年轻人都知道

Frame number: 1428  Sekunda 59.12: 有一首歌是不是我们在座的年轻人都知道

Frame number: 1445  Sekunda 59.8:        叫《没有理想的人不伤心少

Frame number: 1462  Sekunda 60.48:       叫《没有理想的人不伤心少

Frame number: 1479  Sekunda 61.16:        叫《没有理想的人不伤心少

Frame number: 1496  Sekunda 61.84:        叫《没有理想的人不伤心少

Frame number: 1513  Sekunda 62.52: 
Frame number: 1530  Sekunda 63.2: 我听了以后我觉得插扎心的

Frame number: 1547  Sekunda 63.88: 在我目己的成长经廊当中

Frame number: 1564  Sekunda 64.56: 在我自己的成长经历当中

Frame number: 1581  Sekunda 65.24000000000001: “理想”和“年轻-

Frame number: 1598  Sekunda 65.92: “理想”和“年轻-

Frame number: 1615  Sekunda 66.6: 是紧紧摘绑在一起的一组词汇

Frame number: 1632  Sekunda 67.28: 为什么在现在

Frame number: 1649  Sekunda 67.96: 为什么在现在

Frame number: 1666  Sekunda 68.64: ，

Frame number: 1683  Sekunda 69.32: 是什么样的社会的困境

Frame number: 1700  Sekunda 70.0: 让年轻人决定跟理想割席而坐呢

Frame number: 1717  Sekunda 70.68: 所以这个就是我今天来选择这个话题的

Frame number: 1734  Sekunda 71.36: 一个重要的原因

Frame number: 1751  Sekunda 72.04: 我们往往以为

Frame number: 1768  Sekunda 72.72: 人生当中最痛的一个处境是什么

Frame number: 1785  Sekunda 73.4: 就是人生走入了绝境

Frame number: 1802  Sekunda 74.08: 就是人生走入了绝境

Frame number: 1819  Sekunda 74.76: 但其实还有一种处境它会更痛

Frame number: 1836  Sekunda 75.44: 那这是一个什么处境呢

Frame number: 1853  Sekunda 76.12: 
Frame number: 1870  Sekunda 76.8: 在17世纪 有一个类国人作家叫弥尔地

Frame number: 1887  Sekunda 77.48: 在17世纪 有一个类国人作家叫弥尔顿

Frame number: 1904  Sekunda 78.16: 
Frame number: 1921  Sekunda 78.84: 他与了一部作品叫双失乐园》

Frame number: 1938  Sekunda 79.52: 我的玫生经部会友生一个误解

Frame number: 1955  Sekunda 80.2: 我一说我今天要诽《失乐园》

Frame number: 1972  Sekunda 80.88: 我一说我今天要j讲《失乐园》

Frame number: 1989  Sekunda 81.56: 他们都特别兴香

Frame number: 2006  Sekunda 82.24: 他们都特别兴香

Frame number: 2023  Sekunda 82.92: 他们都特别兴香

Frame number: 2040  Sekunda 83.6: 内为他们以为是六观冶一

Frame number: 2057  Sekunda 84.28: 其实我要进的是喘国17世纪的《失乐园》

Frame number: 2074  Sekunda 84.96: 它的故事讲的是我们非常束悉的

Frame number: 2091  Sekunda 85.64: 一个《圣经》 里面的故事

Frame number: 2108  Sekunda 86.32: 就是有一群扩郑天使

Frame number: 2125  Sekunda 87.0: 他们跟上和帝和上帝之子作战

Frame number: 2142  Sekunda 87.68: 打败了

Frame number: 2159  Sekunda 88.36: 被打入地铬

Frame number: 2176  Sekunda 89.04: 而天筷内为这一帮反关天使的离开都空了

Frame number: 2193  Sekunda 89.72: 上帝就打造了一个伊甸园

Frame number: 2210  Sekunda 90.4: 在伊甸园里他创造了人类

Frame number: 2227  Sekunda 91.08:         他把这些人类放在伊甸园

Frame number: 2244  Sekunda 91.76:         他把这些人类放在伊甸园

Frame number: 2261  Sekunda 92.44:         他把这些人类放在伊甸园

Frame number: 2278  Sekunda 93.12: 作为天党的一个“人才备选库

Frame number: 2295  Sekunda 93.8: 作为天是的一个“人才备选库”

Frame number: 2312  Sekunda 94.48: 
Frame number: 2329  Sekunda 95.16: 天党代表着我们人类价值的辉煌的处境

Frame number: 2346  Sekunda 95.84: 伊旬园代表着快乐和满足的处境

Frame number: 2363  Sekunda 96.52: 那我们可以看到

Frame number: 2380  Sekunda 97.2: 地狱呢

Frame number: 2397  Sekunda 97.88: 那一定是人生的什么

Frame number: 2414  Sekunda 98.56: 绝境

Frame number: 2431  Sekunda 99.24: 无望的 疫有指望的

Frame number: 2448  Sekunda 99.92: 但是在弥尔顿的《和失乐园》 当中

Frame number: 2465  Sekunda 100.6: 它最有意思的地方束是说

Frame number: 2482  Sekunda 101.28: 其实和还有第四种【处境)

Frame number: 2499  Sekunda 101.96: 那第四种是什么

Frame number: 2516  Sekunda 102.64: 他是这样说的

Frame number: 2533  Sekunda 103.32: 他是这样说的

Frame number: 2550  Sekunda 104.0: 第四种处境卡在伊甸园和地锌之间

Frame number: 2567  Sekunda 104.68: 它不像地外那么绝望

Frame number: 2584  Sekunda 105.36: 但它也没有伊甸园的快乐和泣足

Frame number: 2601  Sekunda 106.04: 这个地方它不是陆地 不是海

Frame number: 2618  Sekunda 106.72: 所以你找不到一块可以扎扎实实立足的地万

Frame number: 2635  Sekunda 107.4: 所以你找不到一块可以扎扎实实立足的地万

Frame number: 2652  Sekunda 108.08: 所以你找不到一块可以扎扎实实立足的地万

Frame number: 2669  Sekunda 108.76: 所以你找不到一块可以扎扎实实立足的地万

Frame number: 2686  Sekunda 109.44:       而且你也不能自由地移动

Frame number: 2703  Sekunda 110.12:       而且你也不能自由地移动

Frame number: 2720  Sekunda 110.8:         它是一个粘稠的泥沼

Frame number: 2737  Sekunda 111.48: 4        它是一个粘稠的泥沼

Frame number: 2754  Sekunda 112.16:       然后又是一个空虚的黑洞

Frame number: 2771  Sekunda 112.84:       然后又是一个空虚的黑洞

Frame number: 2788  Sekunda 113.52:       然后又是一个空虚的黑洞

Frame number: 2805  Sekunda 114.2:       然后又是一个空虚的黑洞

Frame number: 2822  Sekunda 114.88: 如果你困在了这个地方

Frame number: 2839  Sekunda 115.56: 那么你会怎么样呢

Frame number: 2856  Sekunda 116.24: 你会找不到脚下的路

Frame number: 2873  Sekunda 116.92: 也看不到眼中的情景

Frame number: 2890  Sekunda 117.6: 这样的一个地市

Frame number: 2907  Sekunda 118.28: 弥尔顿给它一个名词

Frame number: 2924  Sekunda 118.96: 就叫“混证界-

Frame number: 2941  Sekunda 119.64: 我每次讲到这个地万

Frame number: 2958  Sekunda 120.32: 我的学生都会况默

Frame number: 2975  Sekunda 121.0: 因为他们开始对号入上府

Frame number: 2992  Sekunda 121.68: 
Frame number: 3009  Sekunda 122.36: 其实在人生当中的“混症界”指的是什么呀

Frame number: 3026  Sekunda 123.04: 其实在人生当中的“混汪界”指的是什么呀

Frame number: 3043  Sekunda 123.72: 其实在人生当中的“混汪界”指的是什么呀

Frame number: 3060  Sekunda 124.4: 
Frame number: 3077  Sekunda 125.08:        指的是你好像没这么惨

Frame number: 3094  Sekunda 125.76: 指的是你好像没这人么惨

Frame number: 3111  Sekunda 126.44: 你不是一无所有

Frame number: 3128  Sekunda 127.12: 但你有的也不多

Frame number: 3145  Sekunda 127.8: “                 但你有的也不多

Frame number: 3162  Sekunda 128.48000000000002: 年     -

Frame number: 3179  Sekunda 129.16: 你好像有那么一份生活

Frame number: 3196  Sekunda 129.84: 但是这份生活又不是你想要的

Frame number: 3213  Sekunda 130.52:       但是这份生活又不是你想要的

Frame number: 3230  Sekunda 131.2: 得是这份生活又不量引想要的

Frame number: 3247  Sekunda 131.88: 量     你想突破 厢

Frame number: 3264  Sekunda 132.56: 你想突破

Frame number: 3281  Sekunda 133.24: 但是看不到希望

Frame number: 3298  Sekunda 133.92: 你想改变

Frame number: 3315  Sekunda 134.6: 你想改变

Frame number: 3332  Sekunda 135.28: 拷不到一个路径

Frame number: 3349  Sekunda 135.96: 
Frame number: 3366  Sekunda 136.64: 在这样的地万

Frame number: 3383  Sekunda 137.32: 我们有的说 那算了

Frame number: 3400  Sekunda 138.0: 我就躺平吧 我押烂吧

Frame number: 3417  Sekunda 138.68: 但是我问问在座的年轻人

Frame number: 3434  Sekunda 139.36: 本                      人

Frame number: 3451  Sekunda 140.04: 你真的躺平和皖烂的时候

Frame number: 3468  Sekunda 140.72: 当我们说“我没有理想我不伤心”

Frame number: 3485  Sekunda 141.4: 你真的不伤心吗

Frame number: 3502  Sekunda 142.08:     你真的不伤心虽

Frame number: 3519  Sekunda 142.76: 你真的不人条心吗

Frame number: 3536  Sekunda 143.44: 六 疫

Frame number: 3553  Sekunda 144.12: 其实内心还是有点不舒服的

Frame number: 3570  Sekunda 144.8: 我们会感到疲侍

Frame number: 3587  Sekunda 145.48: 我们会感到疲傣

Frame number: 3604  Sekunda 146.16: 感到空虚

Frame number: 3621  Sekunda 146.84: 
Frame number: 3638  Sekunda 147.52: 所以这是一份鸡肋的地市

Frame number: 3655  Sekunda 148.2: 
Frame number: 3672  Sekunda 148.88:             鸡肋的生活

Frame number: 3689  Sekunda 149.56:             鸡肋的生活

Frame number: 3706  Sekunda 150.24: |            鸡肋的工作

Frame number: 3723  Sekunda 150.92: 4        就会带来兹姜界体验

Frame number: 3740  Sekunda 151.6:         就会种来兹界体验

Frame number: 3757  Sekunda 152.28:         就会种来兹界体验

Frame number: 3774  Sekunda 152.96: 
Frame number: 3791  Sekunda 153.64: 所以我们一旦陷入混记界的时候

Frame number: 3808  Sekunda 154.32: 我们会有这样的一个状态

Frame number: 3825  Sekunda 155.0: 那就叫 我们婚躺不平

Frame number: 3842  Sekunda 155.68: 我们也孝不动

Frame number: 3859  Sekunda 156.36: 我们的人生好像怎么了

Frame number: 3876  Sekunda 157.04: 卡住了

Frame number: 3893  Sekunda 157.72: 卡住了

Frame number: 3910  Sekunda 158.4: 
Frame number: 3927  Sekunda 159.08: 这种体验市来的一个直接的情绪上的表现

Frame number: 3944  Sekunda 159.76: 这种体验市来的一个直接的情绪上的表现

Frame number: 3961  Sekunda 160.44: 这种体验市来的一个直接的情绪上的表现

Frame number: 3978  Sekunda 161.12: 这种体验市来的一个直接的情绪上的表现

Frame number: 3995  Sekunda 161.8:                          那就叫内未

Frame number: 4012  Sekunda 162.48:                          那就叫内未

Frame number: 4029  Sekunda 163.16: 什么群体内耗最厉害

Frame number: 4046  Sekunda 163.84: 年轻群体

Frame number: 4063  Sekunda 164.52: 其实鲁迅元生就曾经与过这个问题

Frame number: 4080  Sekunda 165.2: 那就是我们所束荡的《秋夜少

Frame number: 4097  Sekunda 165.88: 在鲁迅的《秋夜》》 当中 他讲到

Frame number: 4114  Sekunda 166.56: 在鲁志的《秋夜》当中 他讲到

Frame number: 4131  Sekunda 167.24: 年轻的小飞虫它明明无光可氨

Frame number: 4148  Sekunda 167.92: 但他还是要在玻璃灯轩上撞得叮叮作响

Frame number: 4165  Sekunda 168.6: 年轻的小粉红人花在寒风中冻得瑟瑟发持

Frame number: 4182  Sekunda 169.28: 但它还不原意放径那个春天的蕉

Frame number: 4199  Sekunda 169.96: 这就是年轻的天性

Frame number: 4216  Sekunda 170.64: 这份年轻的天性注定了一个问题

Frame number: 4233  Sekunda 171.32: 那就是越年轻走疼痛

Frame number: 4250  Sekunda 172.0: 所以我们说这是特命

Frame number: 4267  Sekunda 172.68: 所以我们说这是箱命

Frame number: 4284  Sekunda 173.36: 年轻的特命

Frame number: 4301  Sekunda 174.04: 很多“前浪们”不理解

Frame number: 4318  Sekunda 174.72: 玉现在的年轻人

Frame number: 4335  Sekunda 175.4: 这一届年轻人不行

Frame number: 4352  Sekunda 176.08: 因为他太喜欢撒娇了

Frame number: 4369  Sekunda 176.76: 总是喊疼

Frame number: 4386  Sekunda 177.44: 但是有的时候我对这个观总我比较反感

Frame number: 4403  Sekunda 178.12: 我也是个“前溪”

Frame number: 4420  Sekunda 178.8: 我说我们年轻的时候也喊过疼

Frame number: 4437  Sekunda 179.48: 现在我们只是把它豆记了

Frame number: 4454  Sekunda 180.16: 现在我们只是把它系记了

Frame number: 4471  Sekunda 180.84: 现在我们只是把它志记了

Frame number: 4488  Sekunda 181.52: 因为现实把我们的棱角磨光了

Frame number: 4505  Sekunda 182.2: 我们感人营不到痛了

Frame number: 4522  Sekunda 182.88: 很多时候比痛感更可翡的是感觉不到痛了

Frame number: 4539  Sekunda 183.56: 很多时候比痛感更可塌的是感觉不到痛了

Frame number: 4556  Sekunda 184.24: 每一代年轻人

Frame number: 4573  Sekunda 184.92: 他们喊疼从来都不会是因为撤奸而喊疼

Frame number: 4590  Sekunda 185.6: 他们喊疼是因为他们真的疼

Frame number: 4607  Sekunda 186.28: 他们喊疫是因为他们真的疼

Frame number: 4624  Sekunda 186.96: 但是喊疼有用吗

Frame number: 4641  Sekunda 187.64: 年轻人这么痛否

Frame number: 4658  Sekunda 188.32: 年轻人这么痛否

Frame number: 4675  Sekunda 189.0: 但是他们还是找不到出路

Frame number: 4692  Sekunda 189.68: 为什么呀

Frame number: 4709  Sekunda 190.36: 为什么呀

Frame number: 4726  Sekunda 191.04: 因为我们现在所有人都正在经历一个

Frame number: 4743  Sekunda 191.72: 伪个人生活 伪自由 伪理想沁浇的时期

Frame number: 4760  Sekunda 192.4: 什么叫伪生活

Frame number: 4777  Sekunda 193.08: 半国有一个作家叫加纪

Frame number: 4794  Sekunda 193.76: 《局外人 的开筷第一句就是这样写的

Frame number: 4811  Sekunda 194.44: 《局外人 的开篇第一句就是这样与的

Frame number: 4828  Sekunda 195.12: 今天妈妈死了

Frame number: 4845  Sekunda 195.8: 了也许是昨天

Frame number: 4862  Sekunda 196.48: 我不知道

Frame number: 4879  Sekunda 197.16: 这就是束个这个青年映尔索的生活态度

Frame number: 4896  Sekunda 197.84: 他的妈妈下著的时候他没民

Frame number: 4913  Sekunda 198.52: 他在妈妈的棺材面前喝了咖啡抽了烟

Frame number: 4930  Sekunda 199.2: 他在妈妈的棺材面前喝了咖啡抽了烟

Frame number: 4947  Sekunda 199.88: 他有个女朋友

Frame number: 4964  Sekunda 200.56:            他有个女朋友

Frame number: 4981  Sekunda 201.24: ”， 玄朋友老是像天下所有的女朋友 (一样)

Frame number: 4998  Sekunda 201.92: 去追问一个问题

Frame number: 5015  Sekunda 202.6: |                终极问题

Frame number: 5032  Sekunda 203.28:                 终极问题

Frame number: 5049  Sekunda 203.96: |             你爱不爱我

Frame number: 5066  Sekunda 204.64: 
Frame number: 5083  Sekunda 205.32: 然后喘尔索就想了想

Frame number: 5100  Sekunda 206.0: 他觉得目己找不到答案

Frame number: 5117  Sekunda 206.68: 好像爱

Frame number: 5134  Sekunda 207.36: 也好像不那么确定

Frame number: 5151  Sekunda 208.04: 女朋友就问他

Frame number: 5168  Sekunda 208.72: 女朋友就问他

Frame number: 5185  Sekunda 209.4: 那我们要不要结婚

Frame number: 5202  Sekunda 210.08: 他说可以结

Frame number: 5219  Sekunda 210.76: 也可以不结

Frame number: 5236  Sekunda 211.44: 你随便

Frame number: 5253  Sekunda 212.12: 他的老板给了他一份好工作

Frame number: 5270  Sekunda 212.8: 说我现在有个好机会

Frame number: 5287  Sekunda 213.48: 优你到巴黎办事处去工作

Frame number: 5304  Sekunda 214.16: 那是大城市的工作

Frame number: 5321  Sekunda 214.84: 比这个小城市阿尔收尔好多了

Frame number: 5338  Sekunda 215.52: 比这个小城市阿尔及尔好多了

Frame number: 5355  Sekunda 216.2: 很多人都觉得这是个很诗运的机会

Frame number: 5372  Sekunda 216.88: 可是莫尔索他是这样理解的

Frame number: 5389  Sekunda 217.56: 可是呐尔索他是这样理解的

Frame number: 5406  Sekunda 218.24: 大家都是社符

Frame number: 5423  Sekunda 218.92: 大城市的社畜和小城市的社冀有什么区别吗

Frame number: 5440  Sekunda 219.6: 所以蝎尔索不感兴趣

Frame number: 5457  Sekunda 220.28: 我们来看

Frame number: 5474  Sekunda 220.96: 假如我用这简单的春春几句来摘述瘟尔索

Frame number: 5491  Sekunda 221.64: 大家会觉得这是怎样的一个年轻人陀

Frame number: 5508  Sekunda 222.32: 你能找到哪些词汇来摘与虽尔索吗

Frame number: 5525  Sekunda 223.0: 我们大家能想到哪些词

Frame number: 5542  Sekunda 223.68: 零漠的

Frame number: 5559  Sekunda 224.36: 碍观的

Frame number: 5576  Sekunda 225.04: 提不起精神的

Frame number: 5593  Sekunda 225.72: RN

Frame number: 5610  Sekunda 226.4: 我们可以看王卜汉样的一个年轻人

Frame number: 5627  Sekunda 227.08: 在我个罗时会生活当中

Frame number: 5644  Sekunda 227.76: Re

Frame number: 5661  Sekunda 228.44: 基本和省区是要受到批评的

Frame number: 5678  Sekunda 229.12: 基本上老是要受到批评的

Frame number: 5695  Sekunda 229.8: 基本上痢是要受到批评的

Frame number: 5712  Sekunda 230.48: 可是加纱怎么说呢

Frame number: 5729  Sekunda 231.16: 可是加纱和怎么说呢

Frame number: 5746  Sekunda 231.84: 可是加纱怎么说呢

Frame number: 5763  Sekunda 232.52: 他说

Frame number: 5780  Sekunda 233.2: “我写了一个灿雄

Frame number: 5797  Sekunda 233.88: 大家能理解吗

Frame number: 5814  Sekunda 234.56: 这样的一个莫尔索为什么他会是一个瑞雄呢

Frame number: 5831  Sekunda 235.24: 因为他友现了生活的虚伪

Frame number: 5848  Sekunda 235.92: 什么叫生活的虚伪

Frame number: 5865  Sekunda 236.6: 表达泵伤有很多很多种形式

Frame number: 5882  Sekunda 237.28: 为什么只有闫这才是真诚的呢

Frame number: 5899  Sekunda 237.96: 同样都是工作

Frame number: 5916  Sekunda 238.64: 为什么大城市巴黎的工作

Frame number: 5933  Sekunda 239.32: 就比小城市阿尔及尔的工作

Frame number: 5950  Sekunda 240.0: 更高贵 更有价值呢

Frame number: 5967  Sekunda 240.68: 爱情存在变数

Frame number: 5984  Sekunda 241.36: 我们都不确定未来爱情的走向

Frame number: 6001  Sekunda 242.04: 但我们为什么还是要信普旦旦地海著山盟

Frame number: 6018  Sekunda 242.72: 互相许诡永恒呢

Frame number: 6035  Sekunda 243.4: 蔓尔索就在这里

Frame number: 6052  Sekunda 244.08: 他上友现了生活的巷延

Frame number: 6069  Sekunda 244.76: 什么叫生活的苇诞

Frame number: 6086  Sekunda 245.44: 那就是其实在我们来到这个世界的时候

Frame number: 6103  Sekunda 246.12: 这个世界已经有了一环套的价值标准

Frame number: 6120  Sekunda 246.8: 行为规学 人生的模板等着我们

Frame number: 6137  Sekunda 247.48: “行为规沧 人生的蛋板等着我们

Frame number: 6154  Sekunda 248.16: 地

Frame number: 6171  Sekunda 248.84: 这些东西会通过茸校教育

Frame number: 6188  Sekunda 249.52: 社会的价值观念

Frame number: 6205  Sekunda 250.2: 社会的价值观念

Frame number: 6222  Sekunda 250.88: 通过家庭教育传递给我们

Frame number: 6239  Sekunda 251.56: 通过家庭教育传递给我们

Frame number: 6256  Sekunda 252.24: 并且按照这些东西来塑造我们

Frame number: 6273  Sekunda 252.92: 而且根据我们的配合的表现

Frame number: 6290  Sekunda 253.6: 而且根据我们的配合的表现

Frame number: 6307  Sekunda 254.28: 来给我们设一个定叉

Frame number: 6324  Sekunda 254.96: 来给我们设一个定尺

Frame number: 6341  Sekunda 255.64: 来给我们设一个定又

Frame number: 6358  Sekunda 256.32: 或者贴一个标签

Frame number: 6375  Sekunda 257.0: 比如说你要读什么样的书 你才有前途

Frame number: 6392  Sekunda 257.68: 考进什么样的学校 你才是优等生

Frame number: 6409  Sekunda 258.36: 你能够得到一份什么工作

Frame number: 6426  Sekunda 259.04: 你才是有体面 有尊严的

Frame number: 6443  Sekunda 259.72: 你做什么样的人才叫成功

Frame number: 6460  Sekunda 260.4: 什么样的生活 你就是一塌糊涂的失败

Frame number: 6477  Sekunda 261.08: 这些我们可以看到

Frame number: 6494  Sekunda 261.76: 它都是有既定答案的

Frame number: 6511  Sekunda 262.44: 我们就是按照这种既定的答案被社会规划了

Frame number: 6528  Sekunda 263.12: 可是我们意识到了吗

Frame number: 6545  Sekunda 263.8: 很多时候我们会内为目己不符合这个和谷守

Frame number: 6562  Sekunda 264.48: 而感到痛右 感到目责

Frame number: 6579  Sekunda 265.16: 感到目皇

Frame number: 6596  Sekunda 265.84: 自我否定

Frame number: 6613  Sekunda 266.52: 甚至很多时候会党得是一种失败

Frame number: 6630  Sekunda 267.2: 、.

Frame number: 6647  Sekunda 267.88: 这就是蝎尔索他看到的生活的营诞

Frame number: 6664  Sekunda 268.56: 
Frame number: 6681  Sekunda 269.24: 所以我们说 莫尔索问了我们一个问题

Frame number: 6698  Sekunda 269.92: 所以我们说 喝尔察问了我们一个问题

Frame number: 6715  Sekunda 270.6: 我们活着吧

Frame number: 6732  Sekunda 271.28: 我们真的活着吗

Frame number: 6749  Sekunda 271.96: 我们生的活着吗

Frame number: 6766  Sekunda 272.64: 其实我们以为我们活着

Frame number: 6783  Sekunda 273.32: 其实我们以为我们活着

Frame number: 6800  Sekunda 274.0: 其实我们以为我们活着

Frame number: 6817  Sekunda 274.68: 很多时候我们活着的

Frame number: 6834  Sekunda 275.36: 不过是一个已经设定好的定又

Frame number: 6851  Sekunda 276.04: 我们以为在人生当中我做出了那么多选择

Frame number: 6868  Sekunda 276.72: 这个选择是我们自由的选择吗

Frame number: 6885  Sekunda 277.4: 面对一个有和次案的问题

Frame number: 6902  Sekunda 278.08: 我们的目由又从何谈起听

Frame number: 6919  Sekunda 278.76: 所以这就是呐尔索友现的遍赴

Frame number: 6936  Sekunda 279.44: 所以这就是呐尔索发现的蕊赴

Frame number: 6953  Sekunda 280.12: 这是什么呀

Frame number: 6970  Sekunda 280.8: 这就叫伪生活

Frame number: 6987  Sekunda 281.48: 在喘国有一个作冢叫乔伊斯

Frame number: 7004  Sekunda 282.16: 他就扎了一部小说

Frame number: 7021  Sekunda 282.84: 他就扎了一部小说

Frame number: 7038  Sekunda 283.52: 我们都非常了解

Frame number: 7055  Sekunda 284.2: 意误流的一部巨著

Frame number: 7072  Sekunda 284.88: 叫《尤利西斯少

Frame number: 7089  Sekunda 285.56: 《尤利西斯》里面其实有一句话相当典型

Frame number: 7106  Sekunda 286.24: 它来摘述什么叫伪生活

Frame number: 7123  Sekunda 286.92: 它是这样说的

Frame number: 7140  Sekunda 287.6: 它说 每秒钟 每秒钟

